title,link,image,description,createdAt,category
Cách bật tính năng comment ẩn danh trên Facebook,https://genk.vn/cach-bat-tinh-nang-comment-an-danh-tren-facebook-20240917181922736.chn,https://genk.mediacdn.vn/zoom/260_162/139269124445442048/2024/9/17/avatar1726571930386-1726571930880342619472.png,"Từ ngày 16/9, một số người dùng Việt Nam đã có thể sử dụng tính năng bình luận ẩn danh trong các nhóm Facebook.",25 ngày trước,Thủ thuật
Quạt kêu to khi hoạt động có sao không: Thì ra bấy lâu rất nhiều người hiểu sai,https://genk.vn/quat-keu-to-khi-hoat-dong-co-sao-khong-thi-ra-bay-lau-rat-nhieu-nguoi-hieu-sai-20240914183217194.chn,https://genk.mediacdn.vn/zoom/260_162/139269124445442048/2024/9/14/avatar1726313489831-17263134905451830567764.jpg,Dùng quạt đã lâu song không phải ai cũng nhận biết được đúng các vấn đề xảy ra với thiết bị.,28 ngày trước,Thủ thuật
Hướng dẫn cập nhật liên tục thông tin cảnh báo thiên tai trên toàn quốc,https://genk.vn/huong-dan-cap-nhat-lien-tuc-thong-tin-canh-bao-thien-tai-tren-toan-quoc-20240910182142357.chn,https://genk.mediacdn.vn/zoom/260_162/139269124445442048/2024/9/10/avatar1725967234601-17259672385691347093900.png,Người dân cần cập nhật liên tục các thông tin cảnh báo để ứng phó trước diễn biến phức tạp sau bão số 3.,1 tháng trước,Thủ thuật
"Thợ điện nhắc nhở: Đừng để 3 thứ này lên nóc tủ lạnh, rất tốn điện lại khiến tủ nhanh hư",https://genk.vn/tho-dien-nhac-nho-dung-de-3-thu-nay-len-noc-tu-lanh-rat-ton-dien-lai-khien-tu-nhanh-hu-20240824142927975.chn,https://genk.mediacdn.vn/zoom/260_162/139269124445442048/2024/8/24/avatar1724484488310-17244844889481023172291.jpg,Dù là tủ lạnh hay bất kể thiết bị nào thì bạn cũng nên để ý khi dùng.,2 tháng trước,Thủ thuật
Những mẫu camera quay lén trong phòng thường gặp và cách phát hiện,https://genk.vn/nhung-mau-camera-quay-len-trong-phong-thuong-gap-va-cach-phat-hien-20240819160924664.chn,https://genk.mediacdn.vn/zoom/260_162/139269124445442048/2024/8/19/avatar1724058453112-17240584545881163398019.jpg,"Bị quay lén là một mối nguy hiểm lớn đối với quyền riêng tư cá nhân, hãy tìm hiểu những mẫu camera quay lén trong phòng thường gặp và cách phát hiện để phòng tránh.",2 tháng trước,Thủ thuật
"Alibaba.com công bố dịch vụ mới: Giao hàng toàn cầu trong thời gian ngắn, thanh toán được bằng Zalo Pay và Momo",https://genk.vn/alibabacom-cong-bo-dich-vu-moi-giao-hang-toan-cau-trong-thoi-gian-ngan-thanh-toan-duoc-bang-zalo-pay-va-momo-20240815185901077.chn,https://genk.mediacdn.vn/zoom/260_162/139269124445442048/2024/8/15/img20240815142400-1723722937760397644233-81-0-1361-2048-crop-17237229496621875297061.jpg,"Với việc trở thành thị trường đầu tiên trong khu vực Nam Á và Đông Nam Á được giới thiệu dịch vụ này, cơ hội đưa hàng đến toàn cầu đang mở rộng với doanh nghiệp Việt hơn bao giờ hết.",2 tháng trước,Tin ICT
Samsung hướng dẫn cách sạc điện thoại tốt nhất,https://genk.vn/samsung-huong-dan-cach-sac-dien-thoai-tot-nhat-2024081515553758.chn,https://genk.mediacdn.vn/zoom/260_162/139269124445442048/2024/8/15/samsung-tiet-lo-cach-sac-dien-thoai-tot-nhat-23221807-1723712025708-17237120258411643595539-0-0-450-720-crop-1723712073916580386593.jpg,"Samsung, một trong những thương hiệu điện thoại hàng đầu thế giới, đã tiết lộ một loạt các hướng dẫn sạc pin tối ưu.",2 tháng trước,Thủ thuật
2 cách xin cấp hộ chiếu online ngay tại nhà cực nhanh gọn,https://genk.vn/2-cach-xin-cap-ho-chieu-online-ngay-tai-nha-cuc-nhanh-gon-20240807100946373.chn,https://genk.mediacdn.vn/zoom/260_162/139269124445442048/2024/8/7/avatar1723000077762-17230000784871100695883.jpg,"Không cần đến cơ quan công an, công dân có thể đăng ký cấp hộ chiếu online tại nhà thông qua các bước dưới đây.",2 tháng trước,Thủ thuật
"Cuối cùng Apple đã cho ghi âm cuộc gọi trên iPhone nhưng... nó lạ lắm: Netizen chia làm 2 phe tranh cãi ỏm tỏi, chưa phân định đúng sai!",https://genk.vn/cuoi-cung-apple-da-cho-ghi-am-cuoc-goi-tren-iphone-nhung-no-la-lam-netizen-chia-lam-2-phe-tranh-cai-om-toi-chua-phan-dinh-dung-sai-20240802074836566.chn,https://genk.mediacdn.vn/zoom/260_162/139269124445442048/2024/8/2/avatar1722559626806-17225596271661306088369.jpg,"Tính năng ghi âm cuộc gọi iPhone đã bắt đầu được thử nghiệm trên iOS 18.1 beta mới đây. Tuy nhiên, một chi tiết lại đang gây phản ứng trái chiều trong cộng đồng mạng.",2 tháng trước,Thủ thuật
iOS 18 có tính năng cho phép mở mọi ứng dụng mà không cần mở khoá iPhone,https://genk.vn/ios-18-co-tinh-nang-cho-phep-mo-moi-ung-dung-ma-khong-can-mo-khoa-iphone-20240725204040744.chn,https://genk.mediacdn.vn/zoom/260_162/139269124445442048/2024/7/25/customicon-1721914443323-17219144489881803632605-482-0-677-312-crop-17219147548921541333526.png,Người dùng có thể truy cập mọi ứng dụng từ màn hình khoá mà không cần mở khoá iPhone.,3 tháng trước,Thủ thuật
"Cách tải video Facebook trên iPhone, Android mà không cần cài app",https://genk.vn/cach-tai-video-fb-tren-iphone-android-ma-khong-can-cai-app-20240717160538646.chn,https://genk.mediacdn.vn/zoom/260_162/139269124445442048/2024/7/17/photo-1721206900253-1721206900822741061389-25-0-463-700-crop-17212070337451740877013.jpg,"Mặc dù Facebook cho phép người dùng lưu lại tất cả các nội dung để xem sau, nhu cầu tải video Facebook về điện thoại vẫn tăng đều vì nó còn phục vụ nhiều mục đích khác như cắt ghép, chỉnh sửa, reup lên các nền tảng khác.",3 tháng trước,Thủ thuật
